id,nombre,descripcion,precio,id_comerciante,fecha_agregado,foto_url
1,Iphone,Iphone pro,900000000.0,51,2024-08-03T17:38:56.215Z,https://th.bing.com/th/id/OIP.HoodR7IQkD-iz80js0kYxQHaEK?rs=1&pid=ImgDetMain
2,Camara,Camara Canon,2000000.0,51,2024-08-03T17:40:27.057Z,https://i1.adis.ws/i/canon/3011C001AA_EOS-4000D-EF-S18-55-III-BK/3011c001aa_eos-4000d-ef-s18-55-iii-bk?w=1500&bg=gray95
3,impresora,impresora hp,4000000.0,51,2024-08-03T17:42:58.291Z,https://th.bing.com/th/id/OIP.VRcDupN-tX6Ad9waOXJmsQHaEa?rs=1&pid=ImgDetMain
4,Tv,Samsung,1000000.0,51,2024-08-03T17:44:07.978Z,https://th.bing.com/th/id/R.589e7a200de60bff26b7b4845f3cc144?rik=07UReMUvrij8Iw&riu=http%3a%2f%2fimages.samsung.com%2fis%2fimage%2fsamsung%2fau_UA55HU7000WXXY_013_R-Perspective_black%3f%24TM-Gallery%24&ehk=ASsaKNW696b%2fHI0KAvP0sGGQv0BGdmi9Jp6mz%2fiUa6Y%3d&risl=&pid=ImgRaw&r=0
5,telefono 1234,usado,500000000.0,51,2024-08-05T22:31:05.158Z,https://static1.pocketlintimages.com/wordpress/wp-content/uploads/wm/2023/09/apple-iphone-15-pro-4.jpg
6,Monitor,LG 24 '' Monitor LG LED Full HD IPS con AMD,309.75,51,2024-08-06T00:26:05.696Z,https://www.lg.com/ec/images/monitores/md06248939/gallery/dm-1.jpg
7,Teclado,Teclado mecánico RGB,150.0,51,2024-08-07T12:31:00.123Z,https://assets3.razerzone.com/Y3ynI5Iwy7gN7bAkmh2owQAEMvQ=/1500x1500/https%3A%2F%2Fdl.razer.com%2Fapplication%2Fimages%2Fproducts%2Fteclado.png
8,Mouse,Mouse gaming,200.0,51,2024-08-08T14:20:15.234Z,https://cdn.mos.cms.futurecdn.net/vz4pRbXEKiP3CpkT6Sz2MH.jpg
9,Laptop Lenovo,Laptop Lenovo i7,4500000.0,51,2024-08-09T16:15:25.987Z,https://m.media-amazon.com/images/I/71AJK1DhzOS._AC_SL1500_.jpg
10,Tablet Samsung,Tablet Samsung Galaxy,3000000.0,51,2024-08-10T11:42:48.567Z,https://images.samsung.com/is/image/samsung/p6pim/latin/galaxy-tab-a8/latin-feature----tablets-samsung-530x530-530x530.jpg
11,Auriculares,Auriculares Bluetooth,1000.0,51,2024-08-11T13:20:27.123Z,https://th.bing.com/th/id/OIP.F0I8Lrh-3qaX8ICCNyA_1gHaHa?pid=ImgDet&rs=1
12,Smartwatch,Smartwatch Samsung,5000.0,51,2024-08-12T15:30:19.456Z,https://images.samsung.com/is/image/samsung/p6pim/es/samsung-smartwatch-530x530.jpg
13,Silla Gamer,Silla Gamer Ergonómica,200000.0,51,2024-08-13T09:45:31.789Z,https://cdn.mos.cms.futurecdn.net/ZGGib9GS45fKnD9NEcijFN-1200-80.jpg
14,Microfono,Microfono condensador,15000.0,51,2024-08-14T17:15:42.987Z,https://th.bing.com/th/id/OIP.PpTEw4msFmhZyNInQZoUTwHaFF?pid=ImgDet&rs=1
15,Cámara Web,Cámara Web HD,10000.0,51,2024-08-15T19:22:55.234Z,https://th.bing.com/th/id/OIP.9OmhA3hz5v_ezB5kg8u-KwHaFV?pid=ImgDet&rs=1
16,Router,Router Wifi 6,2500.0,51,2024-08-16T21:33:13.456Z,https://th.bing.com/th/id/OIP.KUGzJPM4LLw9AWZwEjIgMgHaFM?pid=ImgDet&rs=1
17,Proyector,Proyector 4K,50000.0,51,2024-08-17T18:45:22.234Z,https://th.bing.com/th/id/OIP.WxJ3ZGqAcmcJeI1m7mZq8QHaD4?pid=ImgDet&rs=1
18,Parlante,Parlante portátil,30000.0,51,2024-08-18T20:55:17.567Z,https://th.bing.com/th/id/OIP._NZZ7uvJxS7MsrAE-9g1YQHaGv?pid=ImgDet&rs=1
19,Disco Duro,Disco Duro Externo 1TB,400000.0,51,2024-08-19T22:10:35.123Z,https://th.bing.com/th/id/OIP.0WXtxoBtQkL1bG23OG6j5AHaEc?pid=ImgDet&rs=1
20,Memoria USB,Memoria USB 32GB,250.0,51,2024-08-20T23:12:48.789Z,https://th.bing.com/th/id/OIP.RVzUuM-Vw13G1HeOb5HsJwHaHa?pid=ImgDet&rs=1
